calendar_year,city,state,closed_date,amount_awarded
2011.0,Philadelphia,PA,2011-05-16,225000.0
2011.0,Philadelphia,PA,2011-05-16,7500.0
2011.0,Philadelphia,PA,2011-05-16,70000.0
2011.0,Philadelphia,PA,2011-05-17,135000.0
2011.0,Philadelphia,PA,2011-05-17,12500.0
2011.0,Philadelphia,PA,2011-05-19,15000.0
2011.0,Philadelphia,PA,2011-05-24,1200000.0
2011.0,Philadelphia,PA,2011-05-24,17500.0
2011.0,Philadelphia,PA,2011-06-01,2500.0
2011.0,Philadelphia,PA,2011-06-01,15000.0
2011.0,Philadelphia,PA,2011-06-06,460000.0
2011.0,Philadelphia,PA,2011-06-09,25000.0
2011.0,Philadelphia,PA,2011-06-13,45000.0
2011.0,Philadelphia,PA,2011-06-17,15000.0
2011.0,Philadelphia,PA,2011-06-20,22500.0
2011.0,Philadelphia,PA,2011-06-22,607319.5
2011.0,Philadelphia,PA,2011-06-23,3000.0
2011.0,Philadelphia,PA,2011-06-23,20000.0
2011.0,Philadelphia,PA,2011-06-29,75000.0
2011.0,Philadelphia,PA,2011-06-29,40000.0
2011.0,Philadelphia,PA,2011-06-29,1729.93
2011.0,Philadelphia,PA,2011-06-29,14500.0
2011.0,Philadelphia,PA,2011-06-29,32500.0
2011.0,Philadelphia,PA,2011-06-30,9000.0
2011.0,Philadelphia,PA,2011-07-07,13000.0
2011.0,Philadelphia,PA,2011-07-08,3000.0
2011.0,Philadelphia,PA,2011-07-12,12500.0
2011.0,Philadelphia,PA,2011-07-13,15000.0
2011.0,Philadelphia,PA,2011-07-13,12000.0
2011.0,Philadelphia,PA,2011-07-13,20000.0
2011.0,Philadelphia,PA,2011-07-14,1000.0
2011.0,Philadelphia,PA,2011-07-14,37500.0
2011.0,Philadelphia,PA,2011-07-25,4000.0
2011.0,Philadelphia,PA,2011-07-27,55000.0
2011.0,Philadelphia,PA,2011-07-29,18500.0
2011.0,Philadelphia,PA,2011-08-01,7500.0
2011.0,Philadelphia,PA,2011-08-01,130000.0
2011.0,Philadelphia,PA,2011-08-04,2000.0
2011.0,Philadelphia,PA,2011-08-05,72500.0
2011.0,Philadelphia,PA,2011-08-12,32500.0
2011.0,Philadelphia,PA,2011-08-12,27000.0
2011.0,Philadelphia,PA,2011-08-15,45000.0
2011.0,Philadelphia,PA,2011-08-16,9500.0
2011.0,Philadelphia,PA,2011-08-22,12000.0
2011.0,Philadelphia,PA,2011-08-25,6000.0
2011.0,Philadelphia,PA,2011-08-25,37500.0
2011.0,Philadelphia,PA,2011-08-30,10000.0
2011.0,Philadelphia,PA,2011-09-01,40000.0
2011.0,Philadelphia,PA,2011-09-02,25000.0
